# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-ENAD-34
# Selected columns: 11 (all)
# Timestamp: Wed, 16-Jul-2025 14:08:40
Gene ID	Gene Name	CD14-positive, CD16-negative classical monocyte, non smoker	CD14-positive, CD16-negative classical monocyte, not available	CD14-positive, CD16-negative classical monocyte, past smoker	CD4-positive, alpha-beta T cell, non smoker	CD4-positive, alpha-beta T cell, not available	CD4-positive, alpha-beta T cell, past smoker	CD4-positive, alpha-beta T cell, smoker	mature neutrophil, non smoker	mature neutrophil, not available	mature neutrophil, past smoker	mature neutrophil, smoker
ENSG00000159592	GPBP1L1	27.0	26.0	27.0	25.0	25.0	25.0	20.0	24.0	24.0	24.0	22.0
ENSG00000159593	NAE1	4.0	4.0	4.0	19.0	19.0	20.0	21.0	0.7	0.7	0.7	0.7
ENSG00000159596	TMEM69	10.0	10.0	10.0	7.0	8.0	8.0	7.0	3.0	3.0	3.0	2.0
ENSG00000159618	ADGRG5	0.3	0.3	0.3	0.3	0.3	0.2	0.5				
ENSG00000159625	DRC7	0.1	0.1	0.1					0.2	0.2	0.2	0.2
ENSG00000159648	TEPP	0.1	0.1	0.1	0.5	0.6	0.5	0.6	0.1	0.1	0.1	0.1
ENSG00000159658	EFCAB14	25.0	25.0	25.0	24.0	25.0	25.0	23.0	11.0	10.0	10.0	10.0
ENSG00000159674	SPON2	0.3	0.3	0.2	0.7	0.7	0.7	0.9	0.1	0.1	0.1	0.1
ENSG00000159685	CHCHD6	0.4	0.4	0.4	2.0	2.0	2.0	2.0				
ENSG00000159692	CTBP1	9.0	9.0	9.0	11.0	11.0	11.0	11.0	3.0	3.0	3.0	4.0
ENSG00000159708	LRRC36	0.2	0.2	0.2								
ENSG00000159712	ANKRD18CP				0.4	0.4	0.4	0.4				
ENSG00000159713	TPPP3	7.0	6.0	7.0					0.3	0.3	0.2	0.4
ENSG00000159714	ZDHHC1	0.9	0.9	0.9								
ENSG00000159720	ATP6V0D1	25.0	24.0	24.0	3.0	3.0	3.0	2.0	27.0	29.0	26.0	30.0
ENSG00000159723	AGRP	0.5	0.5	0.5	0.9	1.0	1.0	0.7	0.3	0.4	0.3	0.2
ENSG00000159733	ZFYVE28	0.4	0.4	0.4	2.0	2.0	2.0	2.0				
ENSG00000159753	CARMIL2	0.2	0.2	0.1	15.0	15.0	15.0	18.0	0.1	0.1	0.1	0.1
ENSG00000159761	C16orf86	2.0	2.0	2.0	1.0	2.0	1.0	2.0	0.6	0.6	0.5	1.0
ENSG00000159763	PIP								0.2	0.2	0.3	0.2
ENSG00000159784	FAM131B	0.3	0.3	0.3					0.1	0.1	0.1	0.1
ENSG00000159788	RGS12	1.0	1.0	1.0	1.0	1.0	1.0	1.0				
ENSG00000159792	PSKH1	5.0	5.0	5.0	6.0	6.0	6.0	6.0	3.0	3.0	3.0	4.0
ENSG00000159840	ZYX	42.0	41.0	42.0	7.0	7.0	7.0	15.0	74.0	76.0	75.0	88.0
ENSG00000159842	ABR	14.0	14.0	14.0	6.0	6.0	6.0	7.0	12.0	12.0	12.0	12.0
ENSG00000159860	TCAF2P1			0.1	0.5	0.5	0.5	0.2				0.1
ENSG00000159871	LYPD5	0.1	0.1	0.1	0.1	0.1						
ENSG00000159873	CCDC117	10.0	10.0	10.0	6.0	6.0	6.0	6.0	5.0	5.0	5.0	5.0
ENSG00000159882	ZNF230	2.0	2.0	2.0	1.0	1.0	1.0	1.0	5.0	6.0	5.0	5.0
ENSG00000159884	CCDC107	0.3	0.3	0.3	0.4	0.5	0.4	0.7				
ENSG00000159885	ZNF222	0.8	0.8	0.8	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ENSG00000159899	NPR2	0.1	0.1	0.1	1.0	1.0	1.0	2.0				
ENSG00000159904	ZNF890P	0.1	0.1	0.1	2.0	3.0	1.0	1.0				
ENSG00000159905	ZNF221	0.3	0.3	0.3	0.4	0.5	0.4	0.1	0.1	0.2	0.1	0.1
ENSG00000159915	ZNF233	0.4	0.4	0.4	0.5	0.5	0.5	0.3	0.1	0.1	0.1	
ENSG00000159917	ZNF235	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.3	0.3	0.3	0.2
ENSG00000159921	GNE	5.0	5.0	5.0	6.0	7.0	6.0	6.0	1.0	1.0	2.0	1.0
ENSG00000159958	TNFRSF13C	0.1	0.1	0.1	1.0	0.8	1.0	1.0				
ENSG00000160007	ARHGAP35	6.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0
ENSG00000160013	PTGIR	4.0	5.0	4.0	0.8	1.0	1.0	1.0				
ENSG00000160014	CALM3	25.0	25.0	25.0	50.0	55.0	53.0	62.0	25.0	27.0	25.0	30.0
ENSG00000160049	DFFA	4.0	4.0	4.0	6.0	6.0	6.0	5.0	0.2	0.1	0.1	0.2
ENSG00000160050	CCDC28B	2.0	1.0	1.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0
ENSG00000160051	IQCC	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0
ENSG00000160055	TMEM234	2.0	2.0	2.0	3.0	2.0	2.0	2.0	5.0	5.0	5.0	6.0
ENSG00000160058	BSDC1	9.0	9.0	9.0	16.0	15.0	15.0	17.0	9.0	9.0	9.0	10.0
ENSG00000160062	ZBTB8A	0.1	0.1			0.1			0.1	0.1		
ENSG00000160072	ATAD3B	2.0	2.0	2.0	6.0	6.0	6.0	6.0	0.2	0.3	0.2	0.3
ENSG00000160075	SSU72	12.0	12.0	12.0	17.0	17.0	18.0	15.0	12.0	12.0	11.0	13.0
ENSG00000160087	UBE2J2	6.0	6.0	6.0	7.0	7.0	7.0	7.0	5.0	5.0	5.0	8.0
ENSG00000160094	ZNF362	5.0	5.0	5.0	6.0	6.0	6.0	8.0	2.0	2.0	2.0	2.0
ENSG00000160097	FNDC5	0.1	0.1	0.1	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.1
ENSG00000160111	CPAMD8	3.0	3.0	2.0	0.4	0.3	0.3	0.5				
ENSG00000160113	NR2F6	0.8	0.8	0.7	0.4	0.5	0.5	0.4	0.1	0.1	0.1	0.1
ENSG00000160117	ANKLE1	1.0	1.0	1.0	0.3	0.4	0.4	0.4	0.1	0.1	0.1	0.1
ENSG00000160124	MIX23	2.0	2.0	2.0	6.0	6.0	6.0	5.0	0.5	0.5	0.5	0.5
ENSG00000160131	VMA21	17.0	17.0	17.0	24.0	25.0	24.0	16.0	1.0	1.0	1.0	1.0
ENSG00000160145	KALRN				0.4	0.4	0.4	0.6				
ENSG00000160161	CILP2				0.1	0.1	0.1	0.1				
ENSG00000160172	FAM86C2P	0.1	0.1	0.1	0.5	0.4	0.4	0.5				
ENSG00000160179	ABCG1	2.0	2.0	2.0	5.0	5.0	5.0	6.0	11.0	11.0	9.0	14.0
ENSG00000160180	TFF3								0.2	0.2	0.2	0.1
ENSG00000160183	TMPRSS3				0.2	0.2	0.2	0.3				
ENSG00000160185	UBASH3A	0.2	0.2	0.2	29.0	26.0	28.0	32.0				
ENSG00000160190	SLC37A1	2.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0
ENSG00000160191	PDE9A				2.0	3.0	3.0	3.0	0.1	0.1	0.1	0.2
ENSG00000160193	WDR4	2.0	2.0	2.0	5.0	5.0	5.0	5.0	0.1		0.1	0.1
ENSG00000160194	NDUFV3	9.0	9.0	9.0	6.0	6.0	6.0	5.0	0.8	0.8	0.8	1.0
ENSG00000160199	PKNOX1	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0
ENSG00000160200	CBS								0.1	0.1	0.1	0.1
ENSG00000160201	U2AF1	0.8	0.7	0.7	0.6	0.5	0.5	0.8	1.0	0.8	1.0	0.7
ENSG00000160207	HSF2BP				0.4	0.4	0.4	0.2				
ENSG00000160208	RRP1B	6.0	6.0	6.0	18.0	19.0	18.0	16.0				0.1
ENSG00000160209	PDXK	9.0	9.0	9.0	4.0	4.0	4.0	3.0	2.0	3.0	2.0	3.0
ENSG00000160211	G6PD	16.0	15.0	16.0	5.0	5.0	5.0	6.0	23.0	23.0	23.0	31.0
ENSG00000160213	CSTB	8.0	9.0	8.0	5.0	5.0	5.0	6.0	3.0	4.0	4.0	5.0
ENSG00000160214	RRP1	7.0	7.0	6.0	5.0	5.0	5.0	4.0	0.1	0.1	0.1	0.1
ENSG00000160216	AGPAT3	11.0	11.0	11.0	6.0	6.0	6.0	7.0	0.4	0.4	0.4	0.5
ENSG00000160218	TRAPPC10	9.0	9.0	9.0	12.0	12.0	12.0	13.0	8.0	7.0	8.0	8.0
ENSG00000160219	GAB3	19.0	19.0	19.0	2.0	2.0	2.0	2.0	14.0	13.0	14.0	10.0
ENSG00000160221	GATD3A	0.3	0.4	0.3	0.2	0.2	0.2	0.2				0.1
ENSG00000160223	ICOSLG	0.1	0.1	0.2								
ENSG00000160224	AIRE	0.1	0.1	0.1	0.1	0.2	0.1	0.1				
ENSG00000160226	CFAP410	0.9	0.8	0.8	3.0	3.0	3.0	4.0	0.1	0.1	0.1	0.1
ENSG00000160229	ZNF66	0.5	0.5	0.5	3.0	3.0	3.0	2.0	9.0	9.0	10.0	5.0
ENSG00000160233	LRRC3	0.2	0.2	0.2	0.1	0.1	0.2	0.4	0.1	0.1	0.1	0.1
ENSG00000160255	ITGB2	230.0	241.0	228.0	58.0	62.0	57.0	60.0	126.0	141.0	127.0	138.0
ENSG00000160256	FAM207A	3.0	3.0	2.0	4.0	4.0	4.0	3.0	0.3	0.4	0.3	0.3
ENSG00000160271	RALGDS	1.0	1.0	1.0	3.0	3.0	3.0	3.0	0.2	0.2	0.2	0.3
ENSG00000160282	FTCD				0.1	0.1	0.1	0.3				
ENSG00000160284	SPATC1L	0.5	0.6	0.5	1.0	1.0	1.0	2.0				
ENSG00000160285	LSS	2.0	2.0	2.0	6.0	6.0	6.0	7.0	0.1	0.1		0.1
ENSG00000160293	VAV2	6.0	6.0	6.0	0.4	0.3	0.3	0.4				
ENSG00000160294	MCM3AP	12.0	13.0	12.0	16.0	16.0	16.0	19.0	4.0	4.0	3.0	4.0
ENSG00000160298	C21orf58	0.2	0.2	0.2	1.0	1.0	1.0	2.0				
ENSG00000160299	PCNT	6.0	6.0	5.0	9.0	9.0	9.0	8.0	0.6	0.6	0.6	0.6
ENSG00000160305	DIP2A	6.0	6.0	6.0	12.0	12.0	11.0	17.0	4.0	4.0	3.0	4.0
ENSG00000160307	S100B	0.1	0.1	0.1	0.7	1.0	0.7	0.9				
ENSG00000160310	PRMT2	10.0	10.0	10.0	36.0	38.0	35.0	40.0	9.0	9.0	8.0	9.0
ENSG00000160318	CLDND2	0.4	0.4	0.4	0.2	0.2	0.2	0.6	0.2	0.3	0.2	0.4
ENSG00000160321	ZNF208				1.0	1.0	2.0	0.5				
ENSG00000160323	ADAMTS13	0.2	0.2	0.2	0.4	0.4	0.5	0.7				
ENSG00000160325	CACFD1	5.0	5.0	5.0	0.9	1.0	1.0	0.5	0.1	0.1	0.1	0.2
ENSG00000160326	SLC2A6	18.0	20.0	18.0	1.0	1.0	0.9	1.0				
ENSG00000160336	ZNF761	4.0	4.0	4.0	6.0	7.0	6.0	6.0	0.6	0.6	0.6	0.7
ENSG00000160339	FCN2	0.1	0.1	0.1								
ENSG00000160345	C9orf116	0.2	0.2	0.2	0.2	0.3	0.2	0.4				
ENSG00000160352	ZNF714	2.0	2.0	2.0	3.0	3.0	4.0	2.0	0.7	0.7	0.8	0.6
ENSG00000160360	GPSM1	0.5	0.6	0.5	1.0	1.0	1.0	1.0				
ENSG00000160392	C19orf47	1.0	1.0	1.0	2.0	2.0	2.0	2.0	0.5	0.5	0.5	0.5
ENSG00000160396	HIPK4	0.2	0.2	0.1	0.1	0.1	0.1					
ENSG00000160401	CFAP157	0.2	0.2	0.2	0.4	0.4	0.4	0.2		0.1		
ENSG00000160404	TOR2A	7.0	7.0	7.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	4.0
ENSG00000160408	ST6GALNAC6	0.2	0.2	0.2	0.5	0.5	0.6	0.2				
ENSG00000160410	SHKBP1	30.0	29.0	30.0	10.0	10.0	10.0	12.0	61.0	62.0	57.0	83.0
ENSG00000160439	RDH13	0.7	0.8	0.8	2.0	2.0	2.0	2.0		0.1	0.1	
ENSG00000160445	ZER1	6.0	6.0	7.0	12.0	12.0	12.0	12.0	16.0	17.0	15.0	19.0
ENSG00000160446	ZDHHC12	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	6.0
ENSG00000160447	PKN3	0.3	0.3	0.3	1.0	1.0	1.0	2.0	0.9	1.0	1.0	1.0
ENSG00000160460	SPTBN4				0.1	0.1	0.1	0.1				
ENSG00000160469	BRSK1				0.3	0.3	0.3	0.4				
ENSG00000160471	COX6B2								0.1	0.1	0.1	0.1
ENSG00000160472	TMEM190				0.2	0.2	0.1					
ENSG00000160539	PLPP7	0.3	0.3	0.3	0.1	0.1	0.1					
ENSG00000160551	TAOK1	24.0	25.0	25.0	16.0	17.0	16.0	16.0	24.0	23.0	24.0	20.0
ENSG00000160563	MED27	4.0	4.0	4.0	6.0	5.0	6.0	5.0	1.0	1.0	1.0	1.0
ENSG00000160570	DEDD2	25.0	26.0	26.0	18.0	19.0	19.0	17.0	51.0	53.0	51.0	70.0
ENSG00000160584	SIK3	15.0	14.0	15.0	7.0	6.0	6.0	9.0	14.0	13.0	15.0	12.0
ENSG00000160588	MPZL3	7.0	7.0	7.0	7.0	6.0	6.0	7.0	73.0	81.0	71.0	75.0
ENSG00000160593	JAML	107.0	106.0	107.0	20.0	20.0	18.0	17.0	219.0	228.0	211.0	181.0
ENSG00000160602	NEK8	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.2	0.2	0.2	0.1
ENSG00000160606	TLCD1	0.9	1.0	0.9	2.0	2.0	2.0	1.0	0.2	0.2	0.2	
ENSG00000160613	PCSK7	3.0	3.0	3.0	8.0	9.0	8.0	12.0	0.9	0.9	0.9	1.0
ENSG00000160633	SAFB	10.0	9.0	9.0	15.0	15.0	15.0	19.0	10.0	10.0	10.0	11.0
ENSG00000160654	CD3G	0.4	0.5	0.4	48.0	52.0	49.0	35.0				
ENSG00000160678	S100A1	0.3	0.3	0.3	0.2	0.2	0.3	0.5	0.1	0.1	0.1	0.2
ENSG00000160679	CHTOP	14.0	14.0	14.0	27.0	26.0	27.0	27.0	14.0	14.0	14.0	12.0
ENSG00000160683	CXCR5				0.2	0.2	0.2	0.2				
ENSG00000160685	ZBTB7B	36.0	36.0	37.0	12.0	13.0	11.0	11.0	38.0	40.0	39.0	64.0
ENSG00000160688	FLAD1	6.0	6.0	6.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0
ENSG00000160691	SHC1	9.0	9.0	9.0	8.0	8.0	8.0	9.0	5.0	5.0	5.0	6.0
ENSG00000160695	VPS11	14.0	14.0	14.0	13.0	13.0	13.0	12.0	3.0	3.0	3.0	3.0
ENSG00000160703	NLRX1	4.0	4.0	4.0	2.0	2.0	2.0	2.0	4.0	5.0	4.0	5.0
ENSG00000160710	ADAR	52.0	52.0	51.0	55.0	54.0	52.0	58.0	147.0	151.0	139.0	137.0
ENSG00000160712	IL6R	47.0	47.0	46.0	35.0	36.0	36.0	31.0	125.0	130.0	125.0	127.0
ENSG00000160714	UBE2Q1	12.0	12.0	12.0	13.0	13.0	13.0	15.0	9.0	10.0	9.0	9.0
ENSG00000160716	CHRNB2	0.4	0.4	0.4	0.4	0.4	0.4	0.2	1.0	2.0	1.0	0.8
ENSG00000160741	CRTC2	9.0	9.0	9.0	11.0	10.0	11.0	27.0	12.0	12.0	13.0	16.0
ENSG00000160746	ANO10	6.0	6.0	6.0	2.0	2.0	2.0	1.0	7.0	7.0	7.0	5.0
ENSG00000160752	FDPS	5.0	5.0	5.0	6.0	6.0	6.0	7.0	2.0	2.0	2.0	3.0
ENSG00000160753	RUSC1	2.0	2.0	2.0	2.0	2.0	2.0	3.0	0.3	0.3	0.3	0.3
ENSG00000160766	GBAP1	0.2	0.2	0.2	1.0	1.0	0.9	0.8	0.6	0.5	0.6	0.8
ENSG00000160767	FAM189B	0.6	0.6	0.6	0.5	0.5	0.5	2.0	0.2	0.2	0.2	0.2
ENSG00000160781	PAQR6	2.0	2.0	2.0	0.9	0.9	0.8	1.0	3.0	3.0	3.0	3.0
ENSG00000160783	PMF1	7.0	6.0	7.0	6.0	6.0	6.0	6.0	4.0	5.0	5.0	4.0
ENSG00000160785	SLC25A44	5.0	5.0	5.0	4.0	4.0	3.0	5.0	20.0	20.0	21.0	19.0
ENSG00000160789	LMNA	4.0	3.0	3.0	0.9	0.8	0.7	0.5				
ENSG00000160791	CCR5	3.0	4.0	3.0	0.2	0.2	0.2	0.2				
ENSG00000160796	NBEAL2	29.0	29.0	28.0	7.0	8.0	7.0	12.0	62.0	64.0	66.0	71.0
ENSG00000160799	CCDC12	7.0	7.0	7.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	2.0
ENSG00000160803	UBQLN4	3.0	3.0	3.0	4.0	4.0	4.0	5.0	0.1	0.1	0.1	0.2
ENSG00000160813	PPP1R35	2.0	2.0	2.0	9.0	9.0	10.0	11.0	2.0	3.0	3.0	7.0
ENSG00000160818	GPATCH4	2.0	2.0	2.0	9.0	9.0	9.0	9.0				
ENSG00000160838	LRRC71	0.5	0.5	0.4	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.1
ENSG00000160856	FCRL3	0.2	0.2	0.2	0.8	1.0	0.8	2.0				
ENSG00000160867	FGFR4				0.2	0.2	0.2	0.3	0.1	0.1	0.1	0.1
ENSG00000160868	CYP3A4				0.3	0.3	0.3	0.2				
ENSG00000160870	CYP3A7				0.1	0.1	0.1	0.1				
ENSG00000160877	NACC1	4.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	5.0
ENSG00000160883	HK3	111.0	109.0	113.0					21.0	26.0	23.0	37.0
ENSG00000160888	IER2	38.0	45.0	38.0	9.0	9.0	9.0	6.0	27.0	27.0	26.0	32.0
ENSG00000160908	ZNF394	28.0	26.0	27.0	45.0	43.0	46.0	46.0	27.0	25.0	28.0	33.0
ENSG00000160917	CPSF4	5.0	5.0	5.0	6.0	6.0	6.0	7.0	0.9	0.8	0.9	1.0
ENSG00000160932	LY6E	15.0	17.0	16.0	22.0	22.0	23.0	22.0	1.0	2.0	0.9	9.0
ENSG00000160948	VPS28	13.0	13.0	13.0	18.0	18.0	18.0	23.0	10.0	11.0	9.0	13.0
ENSG00000160949	TONSL	0.4	0.4	0.4	0.8	0.8	0.8	0.9				
ENSG00000160953	PWWP3A	1.0	1.0	1.0	2.0	2.0	2.0	3.0	0.2	0.2	0.2	0.2
ENSG00000160957	RECQL4	0.4	0.4	0.3	2.0	2.0	2.0	1.0				
ENSG00000160959	LRRC14	2.0	2.0	2.0	7.0	7.0	6.0	5.0	0.6	0.6	0.6	0.8
ENSG00000160961	ZNF333	5.0	5.0	5.0	3.0	4.0	3.0	4.0	7.0	7.0	6.0	7.0
ENSG00000160972	PPP1R16A	0.3	0.3	0.3	0.6	0.6	0.6	0.7	0.1	0.1	0.1	0.3
ENSG00000160973	FOXH1	0.1	0.1		0.1	0.1						
ENSG00000160991	ORAI2	5.0	5.0	5.0	3.0	3.0	3.0	2.0	17.0	18.0	17.0	22.0
ENSG00000160993	ALKBH4	3.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0	4.0	5.0
ENSG00000160999	SH2B2	3.0	2.0	2.0	0.2	0.3	0.2	0.4	8.0	8.0	8.0	16.0
ENSG00000161010	MRNIP	3.0	2.0	2.0	7.0	6.0	6.0	12.0	1.0	1.0	1.0	2.0
ENSG00000161011	SQSTM1	19.0	19.0	18.0	10.0	10.0	10.0	9.0	15.0	15.0	14.0	20.0
ENSG00000161013	MGAT4B	9.0	10.0	9.0	9.0	8.0	8.0	9.0	3.0	3.0	3.0	4.0
ENSG00000161016	RPL8	157.0	167.0	165.0	389.0	393.0	402.0	384.0	7.0	8.0	7.0	12.0
ENSG00000161021	MAML1	10.0	10.0	10.0	12.0	11.0	11.0	15.0	18.0	17.0	18.0	16.0
ENSG00000161031	PGLYRP2					0.1	0.1					0.1
ENSG00000161036	LRWD1	1.0	1.0	1.0	3.0	3.0	3.0	2.0	5.0	5.0	4.0	7.0
ENSG00000161040	FBXL13	0.3	0.3	0.3	0.9	1.0	0.9	0.6	16.0	15.0	17.0	10.0
ENSG00000161048	NAPEPLD	1.0	2.0	2.0	3.0	3.0	3.0	2.0	0.3	0.3	0.3	0.2
ENSG00000161055	SCGB3A1							0.1				
ENSG00000161057	PSMC2	16.0	17.0	17.0	15.0	15.0	16.0	17.0	1.0	1.0	1.0	1.0
ENSG00000161091	MFSD12	6.0	6.0	6.0	11.0	11.0	10.0	12.0	1.0	1.0	1.0	3.0
ENSG00000161132	ENSG00000161132	0.1	0.1	0.1	0.9	1.0	0.9	1.0		0.1		
ENSG00000161149	TUBA3FP				0.1	0.1	0.1	0.1				
ENSG00000161179	YDJC	6.0	6.0	6.0	16.0	16.0	16.0	13.0	0.9	1.0	0.9	2.0
ENSG00000161180	CCDC116	0.1	0.1	0.1	0.1	0.1	0.1	0.2				
ENSG00000161202	DVL3	5.0	5.0	5.0	3.0	3.0	3.0	7.0	4.0	4.0	4.0	4.0
ENSG00000161203	AP2M1	40.0	39.0	40.0	24.0	24.0	24.0	23.0	15.0	16.0	14.0	17.0
ENSG00000161204	ABCF3	8.0	7.0	7.0	10.0	10.0	10.0	12.0	4.0	4.0	4.0	5.0
ENSG00000161217	PCYT1A	13.0	13.0	13.0	7.0	7.0	7.0	9.0	17.0	17.0	18.0	21.0
ENSG00000161265	U2AF1L4	2.0	2.0	2.0	4.0	4.0	4.0	7.0	2.0	2.0	2.0	2.0
ENSG00000161267	BDH1	0.3	0.4	0.3	4.0	4.0	4.0	5.0				
ENSG00000161277	THAP8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4	0.4	0.3	0.4
ENSG00000161281	COX7A1	2.0	2.0	2.0	1.0	1.0	1.0	0.5	0.6	0.6	0.6	1.0
ENSG00000161298	ZNF382	0.1	0.1	0.1	1.0	2.0	2.0	1.0				
ENSG00000161328	LRRC56	0.2	0.2	0.2	1.0	2.0	1.0	1.0				
ENSG00000161381	PLXDC1	0.1	0.1	0.1	6.0	6.0	5.0	10.0				
ENSG00000161395	PGAP3	4.0	4.0	4.0	9.0	8.0	8.0	9.0	0.3	0.3	0.3	0.4
ENSG00000161405	IKZF3	0.5	0.6	0.5	22.0	22.0	21.0	19.0			0.1	
ENSG00000161509	GRIN2C	0.6	0.6	0.6	0.3	0.3	0.3	0.6	0.1	0.1	0.1	
ENSG00000161513	FDXR	0.8	0.8	0.7	1.0	0.9	0.9	1.0	0.2	0.2	0.2	0.3
ENSG00000161526	SAP30BP	10.0	9.0	10.0	9.0	8.0	8.0	8.0	9.0	9.0	9.0	11.0
ENSG00000161533	ACOX1	17.0	17.0	18.0	5.0	5.0	5.0	5.0	59.0	59.0	58.0	51.0
ENSG00000161542	PRPSAP1	3.0	3.0	3.0	3.0	3.0	3.0	4.0	0.7	0.7	0.7	0.8
ENSG00000161547	SRSF2	52.0	54.0	52.0	79.0	76.0	77.0	103.0	25.0	25.0	25.0	26.0
ENSG00000161551	ZNF577	2.0	2.0	2.0	3.0	4.0	4.0	3.0	0.2	0.2	0.2	0.1
ENSG00000161558	TMEM143	0.8	0.8	0.8	2.0	2.0	2.0	4.0	0.4	0.4	0.4	0.5
ENSG00000161594	KLHL10	0.1	0.2	0.2	0.3	0.4	0.4	0.2	0.1	0.1	0.1	0.1
ENSG00000161610	HCRT		0.1		0.1	0.1	0.1					
ENSG00000161618	ALDH16A1	5.0	5.0	4.0	6.0	5.0	5.0	5.0	0.4	0.5	0.4	0.7
ENSG00000161638	ITGA5	28.0	27.0	28.0	16.0	16.0	16.0	17.0	47.0	51.0	48.0	48.0
ENSG00000161640	SIGLEC11	0.5	0.6	0.5								
ENSG00000161642	ZNF385A	11.0	11.0	11.0		0.1		0.4	0.5	0.4	0.5	0.8
ENSG00000161643	SIGLEC16	1.0	2.0	2.0	0.8	0.7	0.7	0.5	0.7	0.6	0.7	0.6
ENSG00000161647	MPP3	0.3	0.4	0.3								
ENSG00000161653	NAGS	0.7	0.8	0.7	0.3	0.3	0.3	0.2	0.3	0.3	0.3	0.5
ENSG00000161654	LSM12	4.0	4.0	4.0	2.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0
ENSG00000161664	ASB16	0.5	0.5	0.5	1.0	2.0	1.0	2.0	0.5	0.5	0.5	0.6
ENSG00000161671	EMC10	4.0	4.0	4.0	5.0	5.0	5.0	5.0	0.3	0.3	0.2	0.4
ENSG00000161677	JOSD2	3.0	4.0	3.0	4.0	4.0	4.0	4.0	0.3	0.3	0.3	0.7
ENSG00000161682	FAM171A2				0.1	0.2	0.1	0.1				
ENSG00000161692	DBF4B	0.4	0.4	0.3	0.6	0.6	0.5	1.0	0.2	0.2	0.2	0.1
ENSG00000161714	PLCD3	0.5	0.5	0.5	0.1	0.2	0.1	0.2	0.1	0.1	0.1	0.1
ENSG00000161791	FMNL3	1.0	1.0	1.0	6.0	6.0	6.0	7.0	0.2	0.2	0.2	0.2
ENSG00000161800	RACGAP1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.6	0.6	0.5	0.4
ENSG00000161813	LARP4	6.0	6.0	6.0	6.0	7.0	6.0	6.0	0.8	0.9	0.8	0.6
ENSG00000161835	TAMALIN	9.0	9.0	9.0	7.0	7.0	7.0	5.0				0.1
ENSG00000161847	RAVER1	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0
ENSG00000161860	SYCE2	0.3	0.3	0.3	1.0	1.0	1.0	1.0				0.1
ENSG00000161888	SPC24				0.3	0.3	0.4	0.3				
ENSG00000161904	LEMD2	9.0	8.0	8.0	15.0	14.0	14.0	15.0	7.0	6.0	7.0	8.0
ENSG00000161905	ALOX15								0.1	0.1	0.1	0.1
ENSG00000161911	TREML1	0.7	0.7	0.7	0.3	0.3	0.3	0.2	1.0	1.0	1.0	0.9
ENSG00000161912	ADCY10P1	2.0	2.0	2.0	4.0	4.0	4.0	6.0	7.0	6.0	7.0	4.0
ENSG00000161914	ZNF653	1.0	0.9	0.9	2.0	2.0	2.0	1.0	0.4	0.4	0.4	0.8
ENSG00000161920	MED11	5.0	5.0	5.0	5.0	5.0	5.0	6.0	9.0	9.0	8.0	10.0
ENSG00000161921	CXCL16	12.0	11.0	11.0	0.4	0.3	0.3	0.7	16.0	17.0	16.0	18.0
ENSG00000161929	SCIMP	17.0	17.0	17.0	0.2	0.2	0.2	0.2				
ENSG00000161939	RNASEK-C17orf49											0.1
ENSG00000161944	ASGR2	19.0	18.0	19.0								
ENSG00000161955	TNFSF13	9.0	9.0	9.0	0.3	0.3	0.2	0.4	1.0	1.0	1.0	3.0
ENSG00000161956	SENP3	3.0	3.0	3.0	3.0	3.0	4.0	3.0	0.9	0.9	0.9	1.0
ENSG00000161958	FGF11				0.1	0.1	0.1	0.2				
ENSG00000161960	EIF4A1	14.0	14.0	13.0	13.0	12.0	13.0	16.0	3.0	3.0	3.0	3.0
ENSG00000161970	RPL26	100.0	104.0	102.0	162.0	164.0	169.0	128.0	3.0	3.0	3.0	3.0
ENSG00000161973	CCDC42				0.1	0.1	0.1	0.1				0.1
ENSG00000161980	POLR3K	2.0	2.0	2.0	2.0	2.0	2.0	3.0	0.8	0.8	0.8	0.6
